humidity,precipMM,tempC,Common cold,Dengue,HeatStroke
72,0,18,0,0,0
72,0,19,0,0,0
72,0,18,0,0,0
72,0,18,0,0,0
68,0,20,0,0,0
64,0,21,0,0,0
59,0,21,0,0,0
51,0,23,0,0,0
42,0,24,0,0,0
33,0,28,0,0,0
32,0,29,0,0,0
30,0,30,0,0,1
29,0,30,0,0,1
35,0,30,0,0,0
41,0,28,0,0,0
47,0,28,0,0,0
53,0,27,0,0,0
59,0,26,0,0,0
64,0,24,0,0,0
66,0,22,0,0,0
67,0,22,0,0,0
68,0,22,0,0,0
70,0,22,0,0,0
71,0,21,0,0,0
72,0,21,0,0,0
72,0,21,0,0,0
71,0,21,0,0,0
71,0,21,0,0,0
69,0,21,0,0,0
68,0,21,0,0,0
66,0,22,0,0,0
58,0,23,0,0,0
50,0,24,0,0,0
42,0,27,0,0,0
40,0,29,0,0,0
38,0,30,0,0,0
36,0,30,0,0,0
43,0,30,0,0,0
50,0,28,0,0,0
57,0,27,0,0,0
58,0,27,0,0,0
60,0,26,0,0,0
61,0,24,0,0,0
61,0,24,0,0,0
61,0,24,0,0,0
62,0,24,0,0,0
61,0,22,0,0,0
60,0,22,0,0,0
59,0,23,0,0,0
62,0,23,0,0,0
65,0,22,0,0,0
68,0,21,0,0,0
65,0,22,0,0,0
62,0,21,0,0,0
59,0,21,0,0,0
52,0,22,0,0,0
45,0,24,0,0,0
38,0,27,0,0,0
36,0,28,0,0,0
34,0,29,0,0,0
32,0,30,0,0,0
37,0,30,0,0,0
41,0,29,0,0,0
46,0,28,0,0,0
50,0,27,0,0,0
55,0,26,0,0,0
59,0,24,0,0,0
59,0,23,0,0,0
60,0,22,0,0,0
60,0,22,0,0,0
62,0,21,0,0,0
63,0,21,0,0,0
65,0,20,0,0,0
66,0,20,0,0,0
68,0,20,0,0,0
69,0,19,0,0,0
68,0,20,0,0,0
66,0,19,0,0,0
65,0,19,0,0,0
56,0,21,0,0,0
47,0,23,0,0,0
38,0,26,0,0,0
34,0,28,0,0,0
31,0,29,0,0,0
28,0,30,0,0,1
32,0,30,0,0,0
36,0,29,0,0,0
41,0,28,0,0,0
45,0,27,0,0,0
49,0,26,0,0,0
53,0,24,0,0,0
54,0,23,0,0,0
55,0,23,0,0,0
56,0,22,0,0,0
57,0,21,0,0,0
57,0,20,0,0,0
58,0,20,0,0,0
61,0,19,0,0,0
64,0,19,0,0,0
66,0,19,0,0,0
65,0,18,0,0,0
63,0,19,0,0,0
62,0,19,0,0,0
54,0,20,0,0,0
47,0,23,0,0,0
39,0,26,0,0,0
36,0,27,0,0,0
33,0,28,0,0,0
29,0,29,0,0,0
34,0,30,0,0,0
38,0,28,0,0,0
43,0,27,0,0,0
46,0,27,0,0,0
50,0,26,0,0,0
53,0,24,0,0,0
53,0,22,0,0,0
54,0,22,0,0,0
54,0,21,0,0,0
56,0,21,0,0,0
57,0,20,0,0,0
58,0,20,0,0,0
60,0,20,0,0,0
62,0,19,0,0,0
63,0,18,0,0,0
62,0,19,0,0,0
61,0,19,0,0,0
59,0,19,0,0,0
52,0,20,0,0,0
45,0,23,0,0,0
39,0,26,0,0,0
36,0,27,0,0,0
33,0,29,0,0,0
30,0,30,0,0,1
35,0,30,0,0,0
39,0,29,0,0,0
44,0,27,0,0,0
48,0,27,0,0,0
52,0,26,0,0,0
56,0,24,0,0,0
57,0,23,0,0,0
58,0,21,0,0,0
60,0,21,0,0,0
61,0,21,0,0,0
62,0,20,0,0,0
63,0,20,0,0,0
64,0,20,0,0,0
64,0,19,0,0,0
65,0,19,0,0,0
64,0,20,0,0,0
63,0,19,0,0,0
63,0,19,0,0,0
56,0,20,0,0,0
50,0,23,0,0,0
44,0,25,0,0,0
